Acc. No.,Title,Author,Place,Publisher,Year,Edition,Language,Subject
000001,Engineering Mechanics Statics and Dynamic,"Singer,Ferdinand.L",Singapur,Harper,1975,2.0,English,MECHANICAL ENGINEERING
000002,A Text Book of Applied Mechanics,Ramamurtham S,Delhi,Dhanpat Ray,1974,5.0,English,MECHANICAL ENGINEERING
000005,Workshop Technology - I,Raghuwanshi B.S,Delhi,Dhanpat Rai,1995,6.0,English,MECHANICAL ENGINEERING
000010,Mechanical Engineering Science,Ravi,Bangalore,V. K,1993,1.0,English,MECHANICAL ENGINEERING
000012,Differential Calculus,Shanti Narayan,Delhi,S Chand,1997,1.0,English,MATHEMATICS
000018,Higher Engineering Mathematics,Grewal B S,Delhi,Khanna,1996,33.0,English,MATHEMATICS
000024,Engineering Mathematics,H K Dass,Delhi,S Chand,1997,2.0,English,MATHEMATICS
000029,A Text Book of Physics,"Patil, G.C",Dharwad,Megha,1996,,English,PHYSICS
000034,Engineering Chemistry,Jain & Jain,New Delhi,Dhanapatrai,1996,,English,CHEMISTRY
000043,Programming With Forton-77,Lipshutre Seymour,Singapure,Sehour,1982,4.0,English,COMPUTER SCIENCE
000048,Computer Programming in Forton,"Rajaraman, V",PHI,Delhi,1997,4.0,English,COMPUTER SCIENCE
000055,Engineering Mathematics,Kumbhojkar G V,Mumbai,C Jamdas,1997,,English,MATHEMATICS
000065,Applied Mathematics,"Wartikar, P. N,War, J.N",Pune,Vidyarthi,1997,5.0,English,MATHEMATICS
000070,Advanced Engineering Mathematics,Erwin Kreyszig,Delhi,New Age,1997,2.0,English,MATHEMATICS
000081,Engineering Physics,Kulkarni D S,Belgaum,Manorama,1993,,English,PHYSICS
000086,Engineering Physics,Kumar & Basavaraju,Bangalore,Subhash,1995,1.0,English,PHYSICS
000091,Text Book of Physical Chemistry,"Soui, P.L,Dharmarha",Delhi,S Chand,1992,1.0,English,CHEMISTRY
000099,Optics,Ghatak Ajoy,Delhi,Tata mc graw h,1996,2.0,English,PHYSICS
000103,Optics,"Subrahmanyam, N",Delhi,S Chand,1996,,English,PHYSICS
000113,Engineering Mechanics,"Bhavikatti,Rajshekhappa",Bangalore,New Age,1997,,English,MECHANICAL ENGINEERING
000125,Engineering Mechanics,Timoshenko & Young,Singapur,Mac graw,1997,5.0,English,MECHANICAL ENGINEERING
000134,"Engineering Mechanics, Satics and Dynamic","Singer,Ferdinad",India,Harper,1997,3.0,English,MECHANICAL ENGINEERING
000144,Vector Mechanics for Engineers Statics,"Beer , Ferdinand . P,Joh",nDelhi,Tata mc graw h,1997,2.0,English,MECHANICAL ENGINEERING
000164,Strength Of Materials,Basavaraju B.S.Mahadev,Delhi,C B S,1995,2.0,English,MECHANICAL ENGINEERING
000169,A Course in Electrical Technology,Gupta Soni,Delhi,S K Kathria,1995,,English,ELECTRONICS & COMMUNICAT
000171,Electrical Technology,Cotton. H,Delhi,C B S,1984,,English,ELECTRONICS & COMMUNICAT
000181,Electrical Technology,Hughes Edward,Delhi,C B S,1995,7.0,English,ELECTRONICS & COMMUNICAT
000189,Problems in Electrical Engineering,"Parkarsmith,N.N,",Delhi,C B S,1984,4.0,English,ELECTRONICS & COMMUNICAT
000191,Problems in Electrical Engineering,"Parkarsmith,",Delhi,C B S,1984,4.0,English,ELECTRONICS & COMMUNICAT
000192,Problems In Electrical Engineering,"Parkarsmith,N.N",Delhi,C B S,1984,4.0,English,ELECTRONICS & COMMUNICAT
000193,Engineering Physics,"Gour, R. K,Gupta",Delhi,Dhanpat,1997,1.0,English,PHYSICS
